PlayerId,FirstTournament,LastTournament,CareerLengthYears,TotalUSDPrize,CurrentHandle,CareerStatus,StartYear,EndYear,GameType,FirstTournamentYear,TotalTournaments,GameId_x,LastTournamentYear,GameId_y,GameId,GameName,RecentEarningsUSD
21640,2015-08-23,2025-05-11,9.716632443531827,1382064.91,Seleri,Ongoing,2015,2025,MOBA,2015,91,231,2025,231,231,Dota 2,6893054.0
21940,2015-09-23,2021-10-17,6.067077344284736,494852.8,SVG,Inactive,2015,2021,MOBA,2015,48,231,2021,231,231,Dota 2,1113322.0
21950,2015-11-01,2024-05-10,8.522929500342231,1570503.07,old eLeVeN,Ongoing,2015,2024,MOBA,2015,77,231,2024,231,231,Dota 2,4105615.0
22135,2015-08-30,2024-11-09,9.196440793976729,1230728.33,Kenny,Ongoing,2015,2024,FPS,2015,60,749,2024,749,749,Call of Duty: Vanguard,3781750.0
22136,2015-08-30,2024-11-09,9.196440793976729,1037729.16,Envoy,Ongoing,2015,2024,FPS,2015,68,749,2024,749,749,Call of Duty: Vanguard,3876025.0
22207,2015-08-30,2025-03-16,9.544147843942506,2146691.12,xNova,Ongoing,2015,2025,MOBA,2015,76,231,2025,231,231,Dota 2,3697443.0
22211,2015-04-29,2021-06-06,6.105407255304586,500185.83,SamH,Inactive,2015,2021,MOBA,2015,38,231,2021,231,231,Dota 2,46750.0
22335,2015-09-13,2025-04-27,9.620807665982204,495521.37,nexa,Ongoing,2015,2025,FPS,2015,126,245,2025,245,245,Counter-Strike: Global Offensive,1820166.0
23173,2015-09-27,2025-04-27,9.582477754962355,861284.52,Zayac,Ongoing,2015,2025,MOBA,2015,66,231,2025,231,231,Dota 2,3619033.0
23188,2015-09-06,2023-12-21,8.290212183436003,651478.86,Taiga,Inactive,2015,2023,MOBA,2015,74,231,2023,231,231,Dota 2,2337817.0
24761,2015-11-01,2025-05-11,9.52498288843258,2851493.15,Skiter,Ongoing,2015,2025,MOBA,2015,97,231,2025,231,231,Dota 2,14386081.0
24832,2015-11-07,2025-05-04,9.489390828199863,689231.99,frozen,Ongoing,2015,2025,FPS,2015,143,245,2025,245,245,Counter-Strike: Global Offensive,2446500.0
24979,2015-11-14,2025-03-01,9.295003422313483,517926.83,Scout,Ongoing,2015,2025,MOBA,2015,27,164,2025,164,164,League of Legends,5589875.0
25047,2015-06-06,2021-09-12,6.269678302532512,1959500.0,psalm,Inactive,2015,2021,Battle Royale,2015,60,534,2021,534,534,Fortnite,23250.0
25121,2009-07-31,2025-05-08,15.770020533880903,856161.12,HObbit,Ongoing,2009,2025,FPS,2009,114,245,2025,245,245,Counter-Strike: Global Offensive,3431000.0
25245,2013-11-24,2022-04-24,8.413415468856947,513015.12,DBQ,Inactive,2013,2022,FPS,2013,43,352,2022,352,352,CrossFire,4100000.0
25296,2015-10-04,2025-04-20,9.544147843942506,361713.01,Hera,Ongoing,2015,2025,RTS,2015,219,179,2025,179,179,Age of Empires II,404855.05
25335,2015-11-08,2025-04-27,9.467488021902806,4350887.6,GH,Ongoing,2015,2025,MOBA,2015,80,231,2025,231,231,Dota 2,1398914.0
26512,2015-12-20,2020-04-09,4.303901437371663,1982030.82,Shadow,Inactive,2015,2020,MOBA,2015,29,231,2020,231,231,Dota 2,45000.0
26513,2014-11-02,2025-05-11,10.521560574948666,3954981.98,Faith_bian,Ongoing,2014,2025,MOBA,2014,86,231,2025,231,231,Dota 2,10386681.0
26665,2015-12-27,2025-05-11,9.371663244353183,4273479.27,Ame,Ongoing,2015,2025,MOBA,2015,87,231,2025,231,231,Dota 2,10861327.0
26666,2015-12-27,2025-05-11,9.371663244353183,1508341.42,Xxs,Ongoing,2015,2025,MOBA,2015,96,231,2025,231,231,Dota 2,6883504.0
26896,2016-02-21,2024-10-06,8.624229979466119,678675.0,StelluR,Ongoing,2016,2024,FPS,2016,58,423,2024,423,423,Halo 5: Guardians,1694600.0
27134,2016-01-17,2025-04-27,9.27583846680356,1896531.44,MidOne,Ongoing,2016,2025,MOBA,2016,82,231,2025,231,231,Dota 2,970672.0
27359,2015-12-27,2025-05-25,9.409993155373032,546071.69,GarrettG,Ongoing,2015,2025,Sports,2015,173,409,2025,409,409,Rocket League,951147.36
27588,2016-02-07,2025-02-23,9.045859000684462,404878.32,Bwipo,Ongoing,2016,2025,MOBA,2016,37,164,2025,164,164,League of Legends,833937.5
27814,2016-02-20,2025-02-10,8.974674880219029,905759.42,Raven,Ongoing,2016,2025,MOBA,2016,56,231,2025,231,231,Dota 2,1637381.0
27839,2016-02-21,2024-10-06,8.624229979466119,520400.0,Deadzone,Ongoing,2016,2024,FPS,2016,53,423,2024,423,423,Halo 5: Guardians,1433300.0
28142,2013-12-13,2023-06-28,9.538672142368242,1404636.1,RodjER,Inactive,2013,2023,MOBA,2013,72,231,2023,231,231,Dota 2,633924.0
28337,2016-03-20,2024-04-14,8.068446269678303,508531.23,BunnyHoppor,Ongoing,2016,2024,Card Game,2016,69,328,2024,328,328,Hearthstone,327519.0
28343,2016-10-16,2024-01-14,7.24435318275154,378326.22,Op,Ongoing,2016,2024,MOBA,2016,33,231,2024,231,231,Dota 2,101997.0
28489,2016-03-28,2025-01-05,8.774811772758385,437362.77,Brehze,Ongoing,2016,2025,FPS,2016,117,245,2025,245,245,Counter-Strike: Global Offensive,615448.0
28556,2015-04-13,2024-10-20,9.522245037645447,468460.98,Golden,Ongoing,2015,2024,FPS,2015,76,245,2024,245,245,Counter-Strike: Global Offensive,649750.0
28734,2016-04-12,2024-12-08,8.657084188911705,596966.58,Ning,Ongoing,2016,2024,MOBA,2016,21,164,2024,164,164,League of Legends,1072680.65
28735,2016-04-12,2024-12-08,8.657084188911705,582384.84,Ming,Ongoing,2016,2024,MOBA,2016,27,164,2024,164,164,League of Legends,4831858.390000001
28739,2017-01-15,2024-08-04,7.5509924709103355,1527561.42,Ori,Ongoing,2017,2024,MOBA,2017,76,231,2024,231,231,Dota 2,4631197.0
28954,2016-04-16,2024-04-20,8.010951403148528,815773.29,Ruler,Ongoing,2016,2024,MOBA,2016,35,164,2024,164,164,League of Legends,553245250.0
29096,2016-04-24,2024-12-08,8.624229979466119,334653.16,Lwx,Ongoing,2016,2024,MOBA,2016,16,164,2024,164,164,League of Legends,3021670.89
29427,2016-05-08,2025-01-12,8.681724845995893,345537.33,Chris Wong,Ongoing,2016,2025,Fighting,2016,14,837,2025,837,837,Street Fighter 6,349650.0
29449,2016-05-07,2022-04-03,5.905544147843942,387072.72,Mo_aubameyang,Inactive,2016,2022,Sports,2016,33,556,2022,556,556,FIFA 19,54453.0
29627,2016-05-29,2024-04-28,7.915126625598905,390723.24,Xepher,Ongoing,2016,2024,MOBA,2016,50,231,2024,231,231,Dota 2,1724150.0
29711,2016-05-26,2024-12-15,8.555783709787816,693647.05,Ethan,Ongoing,2016,2024,FPS,2016,104,245,2024,245,245,Counter-Strike: Global Offensive,1907000.0
29787,2016-05-25,2022-10-09,6.373716632443532,336578.0,bloodyface,Inactive,2016,2022,Card Game,2016,52,328,2022,328,328,Hearthstone,159828.0
30347,2016-05-19,2024-09-18,8.334017796030116,486768.64,Victoria,Ongoing,2016,2024,MOBA,2016,50,231,2024,231,231,Dota 2,620631.0
30451,2016-07-03,2022-07-24,6.056125941136208,6024411.96,ana,Inactive,2016,2022,MOBA,2016,26,231,2022,231,231,Dota 2,124000.0
30452,2016-07-08,2024-09-15,8.188911704312115,1535720.98,Monet,Ongoing,2016,2024,MOBA,2016,78,231,2024,231,231,Dota 2,5358650.0
30573,2016-07-17,2025-05-11,8.815879534565367,1947970.27,Quinn,Ongoing,2016,2025,MOBA,2016,87,231,2025,231,231,Dota 2,7379786.0
30622,2016-07-10,2025-05-11,8.83504449007529,438764.0,CeRq,Ongoing,2016,2025,FPS,2016,129,245,2025,245,245,Counter-Strike: Global Offensive,696039.99
30665,2016-07-10,2024-12-15,8.432580424366872,780184.65,flyfly,Ongoing,2016,2024,MOBA,2016,52,231,2024,231,231,Dota 2,4453088.0
30684,2015-12-27,2024-12-15,8.969199178644764,1242751.39,Paparazi,Ongoing,2015,2024,MOBA,2015,78,231,2024,231,231,Dota 2,2472815.0
30686,2016-07-10,2023-06-05,6.9021218343600275,680524.49,Fade,Inactive,2016,2023,MOBA,2016,50,231,2023,231,231,Dota 2,947694.0
