PlayerId,NameFirst,NameLast,CurrentHandle,CountryCode,TotalUSDPrize
5290,Bryan,Zhelyazkov,Apathy,us,605618.93
10074,Yongzheng,He,Inflame,cn,601854.15
37699,Ding,Zhuo,Knight,cn,599936.39
2597,Feichi,Luo,Ferrari_430,cn,597877.06
102883,Longhui,Jiang,FengJie,cn,597404.53
37663,Ludvig,Brolin,Brollan,se,597025.84
28734,Zhenning,Gao,Ning,cn,596966.58
4883,Noah,Pyo,MP,kr,592676.77
99306,Yanwen,Wang,HS,cn,592619.22
17616,Steven,Vargas,StingeR,pe,592510.78
4888,Sunyeob,Kim,QO,kr,591322.79
104813,Joshua,Butler,Cold,us,590175.00
13134,İsmailсan,Dörtkardeş,XANTARES,tr,590060.93
3818,Alex,Sunderhaft,Neeb,us,589720.96
81612,Landon,Konerman,BeastMode,us,589424.35
56731,Jiahao,Bai,369,cn,588115.40
91606,Enzo,Grondein,Seikoo,fr,587530.18
3641,Chong Xin,Khoo,Ohaiyo,my,586016.52
8924,Luka,Perković,PerkZ,hr,585736.60
53843,Yanis,Champenois,Alpha54,fr,585503.21
32223,Jacob,Knapman,JKnaps,ca,585413.45
53086,Cameron,McKilligan,Cammy,gb,584150.00
40347,Reed,Wilen,Chicago,us,583690.38
4997,Paweł,Bieliński,byali,pl,583489.51
2271,Doh Woo,Kim,Classic,kr,582687.26
145864,Jiajun,Meng,DaShuai,cn,582651.76
28735,Senming,Shi,Ming,cn,582384.84
60418,Shengqqin,Xia,Hurt,cn,581507.86
7517,Thijs,Molendijk,Thijs,nl,579189.66
49361,Rafli Fathur,Rahman,Mikoto,id,577522.71
11154,Hau-Hsuan,Hung,Karsa,tw,575459.59
51534,Jae Won,Lee,LIP,kr,573689.79
92743,Myroslav,Plakhotia,zont1x,ua,572263.47
40261,Nam Joo,Kwon,Striker,kr,571305.19
54498,Worawit,Mekchai,Q,th,567507.34
13394,Zhiyong,Wang,old chicken,cn,567040.77
57481,Amer,Zulbeari,Pred,au,566830.00
57614,Daniel,Walsh,Dubs,us,566279.99
89909,Yitao,Zhou,QianC,cn,563959.13
3293,Cédric,Guipouy,RpK,fr,562227.09
56863,Nathan,Berquignol,Nayte,fr,560308.75
9830,Linus,Blomdin,Limmp,se,559619.65
18904,Sun Gu,Kang,Blank,kr,559518.75
33340,Jonathan,Willette,Renegade,us,558875.00
3710,Johnathan,Perez,John,us,555499.59
4038,Zihao,Jian,Uzi,cn,553869.60
2749,Chan Yong,Kang,Ambition,kr,553454.41
40798,Timofey,Yakushin,interz,ru,553226.34
89081,Yan,Nolasco,yanxnz,br,552795.75
89908,Xinzhen,Xu,JiuWei,cn,551072.59
51379,Aleksandr,Batulin,BatulinS,ru,550577.43
31966,Kim,Villafuerte Santos,Gabbi,ph,550385.15
30865,Will,Merriman,mezii,gb,550135.95
2440,Richard,Landström,Xizt,se,549513.99
3830,Se Hyeong,Cho,Mata,kr,549295.45
41926,Saul Leonardo,Mena Segundo,MenaRD,do,548812.57
76230,Min Seok,Ryu,Keria,kr,546893.12
15807,Boon Seng,Kam,Moon,my,546264.32
27359,Garrett,Gordon,GarrettG,us,545571.69
99980,Evan,Verhulst,Verhulst,us,544299.99
60239,Hongcheng,Guo,Xm,cn,543873.58
46828,Myeong Hwan,Yoo,smurf,kr,541784.30
1203,Eric,Wrona,Snip3down,us,541601.84
4893,Sang-don,Lee,Forev,kr,541537.11
110315,Manuel,Bachoore,ManuBachoore,nl,541194.35
65775,Soo-hoon,Lim,Ulsan,kr,538341.48
1589,Taek Yong,Kim,Bisu,kr,537913.56
1000,Min Chul,Jang,MC,kr,537732.41
18811,Kristian,Wienecke,k0nfig,dk,536247.85
12230,Simon,Haag,Handsken,se,535999.60
14182,Rhys,Price,Rated,gb,535931.89
34191,Alexandre,Courant,Kaydop,fr,535902.69
61171,Martin,Foss,MrSavage,no,534730.90
3843,Hyuk Kyu,Kim,Deft,kr,533702.27
80422,Noyan,Ozkose,Genburten,au,533431.79
11483,Peter,Jarguz,stanislaw,ca,533420.72
104665,-,-,Chico,ba,532651.14
67979,Kirill,Lukyanov,Lu,ru,528456.18
90462,Tao,Li,Aze,cn,528374.39
14874,Lamar,Abedi,Accuracy,us,528328.00
33471,Victor,Woodley,Punk,us,527996.61
55316,Chuan,Yu,Summer,cn,527411.90
62105,Cody,Conrod,Clix,us,526675.29
60414,Zhishun,Cao,JiuCheng,cn,524628.69
81271,Lennard,Sill,rezon ay,de,524185.90
35884,Troy,Jaroslawski,Canadian,ca,523861.90
1179,Ian,Wyatt,Enable,us,522597.12
27839,Zane,Hearon,Deadzone,us,520400.00
45708,Bryan,Tebessi,Elemzje,fr,519392.44
4584,Marcin,Jankowski,Jankos,pl,519257.63
24979,Ye Chan,Lee,Scout,kr,517926.83
48945,Evgeniy,Lebedev,FL1T,ru,516944.39
63746,Brendan,Falconer,Falconer,us,516750.00
3386,Kai,Ming,ClearLove,cn,516407.61
83029,Daniel,Piecenski,Daniel,us,516186.71
52321,Anthony,Colandro,ZexRow,us,516084.73
89893,Runzhi,Chen,ShiJiu,cn,515841.57
9657,Yueqiang,Dai,18,cn,515649.74
