NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Kuan,Zhou,QianShi,cn,353,85,677281.37,16
Shahar,Shushan,flameZ,il,354,4,676568.06,65
Pengfei,Zheng,Even,cn,355,86,676528.10,60
Ivan,Kapustin,ubah,ru,356,27,676467.77,46
Jonáš,Volek,SabeRLight-,cz,357,1,676227.57,77
Casper,Møller,cadiaN,dk,358,17,675748.01,129
Jiajie,Tang,XiaoYing,cn,359,87,673819.31,17
Donovan,Hunt,TekKz,gb,360,8,672494.80,57
Andrej,Piratov,merstachhh,lv,361,2,671181.79,109
Vladislav,Gorshkov,nafany,ru,362,28,669061.73,89
Yutao,Wu,HuaJuan,cn,363,88,668908.67,14
Joon,Park,Lyn,kr,364,24,668434.36,275
Yoo Jin,Kim,sOs,kr,365,25,665449.84,105
Jordan,Wolfe,Reps,us,366,52,665059.65,104
Timothy,Miller,Bizzle,us,367,53,664776.39,86
Eui Jin,Song,Rookie,kr,368,26,664528.80,33
Nikola,Krudulj,TruleX,rs,369,2,664267.00,92
Oleksandr,Dashkevych,XBOCT,ua,370,11,663158.09,80
Joon Ho,Kim,herO,kr,371,27,660347.49,459
Loïc,Chongthep,BriD,fr,372,12,660125.67,52
Peter,Kata,PeterBot,us,373,54,658724.17,81
Ye,Zhang,Zy,cn,374,89,657282.25,43
Matt,Smith,Kickstart,us,375,55,655509.19,57
Ye,Tian,Meiko,cn,376,90,653537.31,38
Jiwei,Huang,Shiki,cn,377,91,653514.33,16
Tommy,Le,Taiga,no,378,4,651478.86,74
Min Ki,Park,Viol2t,kr,379,28,651349.29,24
Danil,Kryshkovets,donk,ru,341,25,689619.60,47
Joakim,Akterhall,Akke,se,380,16,648738.70,100
Seung Lok,Kang,TheShy,kr,381,29,647773.33,20
Tsunehiro,Kanamori,Gachikun,jp,382,4,646084.53,38
Yoon Su,Eu,soO,kr,383,30,645423.06,220
Haoming,Chen,Ming,cn,384,92,645125.12,25
Hector Antonio,Rodriguez,K1,pe,386,2,642841.68,52
Qian,Zhang,ZQ,cn,387,93,642838.77,47
René,Madsen,TeSeS,dk,389,19,641390.92,103
Austin,Scherff,M1ME,us,390,57,641320.19,44
Nanjiang,Li,Nannnnn,cn,391,94,641141.60,47
Massimo,Franceschi,Atomic,us,385,56,642852.05,114
Will,Wierzba,Rush,us,392,58,640176.87,140
Leon,Khim,Khanada,us,393,59,640124.67,177
Thomas,Trewren,Tommey,gb,394,9,640049.28,237
Henrik,Ahnberg,AdmiralBulldog,se,395,17,638187.73,75
Dae Yeob,Kim,Stats,kr,396,31,637665.08,226
Klaus,Konstanzer,stompy,at,397,2,634421.94,69
Hyun Woo,Byun,ByuN,kr,398,32,634266.17,727
Cooper,Smith,Cooper,us,399,60,634205.00,40
Tae Min,Kang,Taemin,kr,400,33,632268.84,27
Keqin,Wang,XingHen,cn,401,95,631460.45,11
