PlayerId,FirstTournament,LastTournament,CareerLengthYears,TotalUSDPrize,CurrentHandle,CareerStatus,StartYear,EndYear,GameType,FirstTournamentYear,TotalTournaments,LastTournamentYear,GameId,GameName,Top10PctEarningsRatio
4738,2013-04-21,2023-04-03,9.949349760438055,723577.98,MSS,Inactive,2013,2023,MOBA,2013,80,2023,231,Dota 2,0.7586974985804139
4883,2013-07-14,2019-11-03,6.30527036276523,592676.77,MP,Inactive,2013,2019,MOBA,2013,47,2019,231,Dota 2,0.5947558853201059
4884,2013-07-14,2020-12-20,7.436002737850787,383210.97,March,Inactive,2013,2020,MOBA,2013,40,2020,231,Dota 2,0.6553274167958623
4885,2013-07-14,2022-04-21,8.76933607118412,616244.35,Febby,Inactive,2013,2022,MOBA,2013,46,2022,231,Dota 2,0.720981389513103
4888,2013-07-14,2020-05-24,6.861054072553046,591322.79,QO,Inactive,2013,2020,MOBA,2013,41,2020,231,Dota 2,0.7513674854509445
4893,2013-11-10,2020-10-30,6.97056810403833,541537.11,Forev,Inactive,2013,2020,MOBA,2013,49,2020,231,Dota 2,0.6512820408553356
4996,2009-10-13,2022-03-06,12.394250513347023,423344.8,cajunb,Inactive,2009,2022,FPS,2009,150,2022,245,Counter-Strike: Global Offensive,0.45935372897649007
4997,2013-09-01,2023-07-27,9.900068446269678,583489.51,byali,Inactive,2013,2023,FPS,2013,137,2023,245,Counter-Strike: Global Offensive,0.599111043495037
4998,2010-11-13,2025-05-18,14.510609171800137,931969.12,snax,Ongoing,2010,2025,FPS,2010,180,2025,245,Counter-Strike: Global Offensive,0.6117999127047019
5000,2013-09-28,2025-05-19,11.638603696098563,1015061.9,KRiMZ,Ongoing,2013,2025,FPS,2013,174,2025,245,Counter-Strike: Global Offensive,0.49324708287863084
5001,2011-01-17,2024-02-11,13.067761806981519,940855.42,olofmeister,Ongoing,2011,2024,FPS,2011,161,2024,245,Counter-Strike: Global Offensive,0.5052622059736375
5034,2013-11-30,2025-03-30,11.329226557152635,675748.01,cadiaN,Ongoing,2013,2025,FPS,2013,129,2025,245,Counter-Strike: Global Offensive,0.5130136819135647
5035,2013-03-17,2023-12-02,10.710472279260781,337991.67,aizy,Inactive,2013,2023,FPS,2013,121,2023,245,Counter-Strike: Global Offensive,0.4369902217533307
5095,2007-10-30,2023-10-03,15.926078028747433,397700.0,ProblemWright,Inactive,2007,2023,Battle Royale,2007,19,2023,648,Call of Duty: Warzone,0.34096444227959083
5194,2011-12-07,2021-02-28,9.229295003422314,3029331.36,ppd,Inactive,2011,2021,MOBA,2011,96,2021,231,Dota 2,0.8434345105160996
5195,2012-06-18,2023-10-29,11.36208076659822,4292756.02,Zai,Inactive,2012,2023,MOBA,2012,126,2023,231,Dota 2,0.7413141390762072
5221,2013-12-28,2025-02-10,11.121149897330595,1091925.12,DJ,Ongoing,2013,2025,MOBA,2013,90,2025,231,Dota 2,0.7028586922630491
